"YEAR","REGION","GENDER","GRADE","ENROLLMENT"
"2018-2019",09,"FEMALE","Kindergarten",1361
"2018-2019",09,"MALE","Kindergarten",1359
"2018-2019",09,"FEMALE","Grade 1",1315
"2018-2019",09,"MALE","Grade 1",1442
"2018-2019",09,"FEMALE","Grade 2",1290
"2018-2019",09,"MALE","Grade 2",1379
"2018-2019",09,"FEMALE","Grade 3",1297
"2018-2019",09,"MALE","Grade 3",1412
"2018-2019",09,"FEMALE","Grade 4",1397
"2018-2019",09,"MALE","Grade 4",1466
"2018-2019",09,"FEMALE","Grade 5",1380
"2018-2019",09,"MALE","Grade 5",1472
"2018-2019",09,"FEMALE","Grade 6",1382
"2018-2019",09,"MALE","Grade 6",1446
"2018-2019",09,"FEMALE","Grade 7",1301
"2018-2019",09,"MALE","Grade 7",1472
"2018-2019",09,"FEMALE","Grade 8",1286
"2018-2019",09,"MALE","Grade 8",1430
"2018-2019",09,"FEMALE","Grade 9",1371
"2018-2019",09,"MALE","Grade 9",1353
"2018-2019",09,"FEMALE","Grade 10",1303
"2018-2019",09,"MALE","Grade 10",1335
"2018-2019",09,"FEMALE","Grade 11",1290
"2018-2019",09,"MALE","Grade 11",1338
"2018-2019",09,"FEMALE","Grade 12",1211
"2018-2019",09,"MALE","Grade 12",1240
"2018-2019",10,"FEMALE","Early Education",1195
"2018-2019",10,"MALE","Early Education",2854
"2018-2019",10,"FEMALE","Pre-kindergarten",17661
"2018-2019",10,"MALE","Pre-kindergarten",17899
"2018-2019",10,"FEMALE","Kindergarten",29248
"2018-2019",10,"MALE","Kindergarten",31163
"2018-2019",10,"FEMALE","Grade 1",30278
"2018-2019",10,"MALE","Grade 1",31928
"2018-2019",10,"FEMALE","Grade 2",30531
"2018-2019",10,"MALE","Grade 2",32000
"2018-2019",10,"FEMALE","Grade 3",31327
"2018-2019",10,"MALE","Grade 3",32619
"2018-2019",10,"FEMALE","Grade 4",32859
"2018-2019",10,"MALE","Grade 4",34078
"2018-2019",10,"FEMALE","Grade 5",33346
"2018-2019",10,"MALE","Grade 5",34857
"2018-2019",10,"FEMALE","Grade 6",33273
"2018-2019",10,"MALE","Grade 6",34935
"2018-2019",10,"FEMALE","Grade 7",32510
"2018-2019",10,"MALE","Grade 7",33585
"2018-2019",10,"FEMALE","Grade 8",31809
"2018-2019",10,"MALE","Grade 8",33536
"2018-2019",10,"FEMALE","Grade 9",33730
"2018-2019",10,"MALE","Grade 9",36440
"2018-2019",10,"FEMALE","Grade 10",31573
"2018-2019",10,"MALE","Grade 10",33063
"2018-2019",10,"FEMALE","Grade 11",29680
"2018-2019",10,"MALE","Grade 11",30672
"2018-2019",10,"FEMALE","Grade 12",28206
"2018-2019",10,"MALE","Grade 12",28135
"2018-2019",11,"FEMALE","Early Education",815
"2018-2019",11,"MALE","Early Education",1897
"2018-2019",11,"FEMALE","Pre-kindergarten",10543
"2018-2019",11,"MALE","Pre-kindergarten",10725
"2018-2019",11,"FEMALE","Kindergarten",19864
"2018-2019",11,"MALE","Kindergarten",20785
"2018-2019",11,"FEMALE","Grade 1",20066
"2018-2019",11,"MALE","Grade 1",21036
"2018-2019",11,"FEMALE","Grade 2",20136
"2018-2019",11,"MALE","Grade 2",21328
"2018-2019",11,"FEMALE","Grade 3",20665
"2018-2019",11,"MALE","Grade 3",21997
"2018-2019",11,"FEMALE","Grade 4",21777
"2018-2019",11,"MALE","Grade 4",22722
"2018-2019",11,"FEMALE","Grade 5",22304
"2018-2019",11,"MALE","Grade 5",23456
"2018-2019",11,"FEMALE","Grade 6",21769
"2018-2019",11,"MALE","Grade 6",23482
"2018-2019",11,"FEMALE","Grade 7",21947
"2018-2019",11,"MALE","Grade 7",23073
"2018-2019",11,"FEMALE","Grade 8",21550
"2018-2019",11,"MALE","Grade 8",23100
"2018-2019",11,"FEMALE","Grade 9",23785
"2018-2019",11,"MALE","Grade 9",25589
"2018-2019",11,"FEMALE","Grade 10",22350
"2018-2019",11,"MALE","Grade 10",23514
"2018-2019",11,"FEMALE","Grade 11",20992
"2018-2019",11,"MALE","Grade 11",21553
"2018-2019",11,"FEMALE","Grade 12",20291
"2018-2019",11,"MALE","Grade 12",20405
"2018-2019",12,"FEMALE","Early Education",206
"2018-2019",12,"MALE","Early Education",400
"2018-2019",12,"FEMALE","Pre-kindergarten",4670
"2018-2019",12,"MALE","Pre-kindergarten",4593
"2018-2019",12,"FEMALE","Kindergarten",6290
"2018-2019",12,"MALE","Kindergarten",6586
"2018-2019",12,"FEMALE","Grade 1",6417
"2018-2019",12,"MALE","Grade 1",6769
"2018-2019",12,"FEMALE","Grade 2",6395
"2018-2019",12,"MALE","Grade 2",6523
"2018-2019",12,"FEMALE","Grade 3",6320
"2018-2019",12,"MALE","Grade 3",6753
"2018-2019",12,"FEMALE","Grade 4",6520
"2018-2019",12,"MALE","Grade 4",6900
"2018-2019",12,"FEMALE","Grade 5",6515
"2018-2019",12,"MALE","Grade 5",6855
"2018-2019",12,"FEMALE","Grade 6",6529
"2018-2019",12,"MALE","Grade 6",7088
"2018-2019",12,"FEMALE","Grade 7",6324
"2018-2019",12,"MALE","Grade 7",6780
"2018-2019",12,"FEMALE","Grade 8",6252
"2018-2019",12,"MALE","Grade 8",6669
"2018-2019",12,"FEMALE","Grade 9",6447
"2018-2019",12,"MALE","Grade 9",7053
"2018-2019",12,"FEMALE","Grade 10",6048
"2018-2019",12,"MALE","Grade 10",6242
"2018-2019",12,"FEMALE","Grade 11",5519
"2018-2019",12,"MALE","Grade 11",5700
"2018-2019",12,"FEMALE","Grade 12",5376
"2018-2019",12,"MALE","Grade 12",5490
"2018-2019",13,"FEMALE","Early Education",667
"2018-2019",13,"MALE","Early Education",1499
"2018-2019",13,"FEMALE","Pre-kindergarten",8291
"2018-2019",13,"MALE","Pre-kindergarten",8202
"2018-2019",13,"FEMALE","Kindergarten",14230
"2018-2019",13,"MALE","Kindergarten",15139
"2018-2019",13,"FEMALE","Grade 1",14453
"2018-2019",13,"MALE","Grade 1",15176
"2018-2019",13,"FEMALE","Grade 2",14718
"2018-2019",13,"MALE","Grade 2",15523
"2018-2019",13,"FEMALE","Grade 3",14808
"2018-2019",13,"MALE","Grade 3",15537
"2018-2019",13,"FEMALE","Grade 4",15248
"2018-2019",13,"MALE","Grade 4",16043
"2018-2019",13,"FEMALE","Grade 5",15951
"2018-2019",13,"MALE","Grade 5",16558
"2018-2019",13,"FEMALE","Grade 6",15583
"2018-2019",13,"MALE","Grade 6",16448
"2018-2019",13,"FEMALE","Grade 7",15273
"2018-2019",13,"MALE","Grade 7",16153
"2018-2019",13,"FEMALE","Grade 8",14817
"2018-2019",13,"MALE","Grade 8",16077
"2018-2019",13,"FEMALE","Grade 9",15886
"2018-2019",13,"MALE","Grade 9",16973
"2018-2019",13,"FEMALE","Grade 10",14686
"2018-2019",13,"MALE","Grade 10",15278
"2018-2019",13,"FEMALE","Grade 11",13732
"2018-2019",13,"MALE","Grade 11",13945
"2018-2019",13,"FEMALE","Grade 12",12745
"2018-2019",13,"MALE","Grade 12",13335
"2018-2019",14,"FEMALE","Early Education",166
"2018-2019",14,"MALE","Early Education",247
"2018-2019",14,"FEMALE","Pre-kindergarten",1133
"2018-2019",14,"MALE","Pre-kindergarten",1175
"2018-2019",14,"FEMALE","Kindergarten",2252
"2018-2019",14,"MALE","Kindergarten",2317
"2018-2019",14,"FEMALE","Grade 1",2318
"2018-2019",14,"MALE","Grade 1",2295
"2018-2019",14,"FEMALE","Grade 2",2152
"2018-2019",14,"MALE","Grade 2",2240
"2018-2019",14,"FEMALE","Grade 3",2287
"2018-2019",14,"MALE","Grade 3",2285
"2018-2019",14,"FEMALE","Grade 4",2219
"2018-2019",14,"MALE","Grade 4",2249
"2018-2019",14,"FEMALE","Grade 5",2139
"2018-2019",14,"MALE","Grade 5",2465
"2018-2019",14,"FEMALE","Grade 6",2224
"2018-2019",14,"MALE","Grade 6",2304
"2018-2019",14,"FEMALE","Grade 7",2198
"2018-2019",14,"MALE","Grade 7",2281
"2018-2019",14,"FEMALE","Grade 8",2192
"2018-2019",14,"MALE","Grade 8",2284
"2018-2019",14,"FEMALE","Grade 9",2076
"2018-2019",14,"MALE","Grade 9",2187
"2018-2019",14,"FEMALE","Grade 10",1847
"2018-2019",14,"MALE","Grade 10",1774
"2018-2019",14,"FEMALE","Grade 11",1717
"2018-2019",14,"MALE","Grade 11",1678
"2018-2019",14,"FEMALE","Grade 12",1517
"2018-2019",14,"MALE","Grade 12",1502
"2018-2019",15,"FEMALE","Early Education",340
"2018-2019",15,"MALE","Early Education",417
"2018-2019",15,"FEMALE","Pre-kindergarten",874
"2018-2019",15,"MALE","Pre-kindergarten",924
"2018-2019",15,"FEMALE","Kindergarten",1738
"2018-2019",15,"MALE","Kindergarten",1821
"2018-2019",15,"FEMALE","Grade 1",1805
"2018-2019",15,"MALE","Grade 1",1881
"2018-2019",15,"FEMALE","Grade 2",1719
"2018-2019",15,"MALE","Grade 2",1845
"2018-2019",15,"FEMALE","Grade 3",1814
"2018-2019",15,"MALE","Grade 3",1929
"2018-2019",15,"FEMALE","Grade 4",1848
"2018-2019",15,"MALE","Grade 4",2042
"2018-2019",15,"FEMALE","Grade 5",1982
"2018-2019",15,"MALE","Grade 5",2028
"2018-2019",15,"FEMALE","Grade 6",1848
"2018-2019",15,"MALE","Grade 6",1904
"2018-2019",15,"FEMALE","Grade 7",1822
"2018-2019",15,"MALE","Grade 7",1909
"2018-2019",15,"FEMALE","Grade 8",1853
