"Year","Region","Grade Level Name","Gender Name","Gender Count"
"2016-2017",13,"Grade  3","Male",15411
"2016-2017",13,"Grade  4","Female",14690
"2016-2017",13,"Grade  4","Male",15464
"2016-2017",13,"Grade  5","Female",14408
"2016-2017",13,"Grade  5","Male",15274
"2016-2017",13,"Grade  6","Female",13888
"2016-2017",13,"Grade  6","Male",15127
"2016-2017",13,"Grade  7","Female",14275
"2016-2017",13,"Grade  7","Male",14896
"2016-2017",13,"Grade  8","Female",13941
"2016-2017",13,"Grade  8","Male",14826
"2016-2017",13,"Grade  9","Female",14975
"2016-2017",13,"Grade  9","Male",16179
"2016-2017",13,"Grade 10","Female",13666
"2016-2017",13,"Grade 10","Male",14798
"2016-2017",13,"Grade 11","Female",12805
"2016-2017",13,"Grade 11","Male",13160
"2016-2017",13,"Grade 12","Female",11899
"2016-2017",13,"Grade 12","Male",12315
"2016-2017",14,"Early Education","Female",171
"2016-2017",14,"Early Education","Male",254
"2016-2017",14,"Pre-kindergarten","Female",1199
"2016-2017",14,"Pre-kindergarten","Male",1227
"2016-2017",14,"Kindergarten","Female",2142
"2016-2017",14,"Kindergarten","Male",2339
"2016-2017",14,"Grade  1","Female",2347
"2016-2017",14,"Grade  1","Male",2358
"2016-2017",14,"Grade  2","Female",2302
"2016-2017",14,"Grade  2","Male",2337
"2016-2017",14,"Grade  3","Female",2348
"2016-2017",14,"Grade  3","Male",2623
"2016-2017",14,"Grade  4","Female",2481
"2016-2017",14,"Grade  4","Male",2482
"2016-2017",14,"Grade  5","Female",2430
"2016-2017",14,"Grade  5","Male",2527
"2016-2017",14,"Grade  6","Female",2461
"2016-2017",14,"Grade  6","Male",2591
"2016-2017",14,"Grade  7","Female",2514
"2016-2017",14,"Grade  7","Male",2452
"2016-2017",14,"Grade  8","Female",2513
"2016-2017",14,"Grade  8","Male",2404
"2016-2017",14,"Grade  9","Female",1897
"2016-2017",14,"Grade  9","Male",2015
"2016-2017",14,"Grade 10","Female",1759
"2016-2017",14,"Grade 10","Male",1739
"2016-2017",14,"Grade 11","Female",1632
"2016-2017",14,"Grade 11","Male",1678
"2016-2017",14,"Grade 12","Female",1460
"2016-2017",14,"Grade 12","Male",1524
"2016-2017",15,"Early Education","Female",293
"2016-2017",15,"Early Education","Male",348
"2016-2017",15,"Pre-kindergarten","Female",872
"2016-2017",15,"Pre-kindergarten","Male",913
"2016-2017",15,"Kindergarten","Female",1720
"2016-2017",15,"Kindergarten","Male",1858
"2016-2017",15,"Grade  1","Female",1840
"2016-2017",15,"Grade  1","Male",1941
"2016-2017",15,"Grade  2","Female",1859
"2016-2017",15,"Grade  2","Male",2051
"2016-2017",15,"Grade  3","Female",1966
"2016-2017",15,"Grade  3","Male",2069
"2016-2017",15,"Grade  4","Female",1889
"2016-2017",15,"Grade  4","Male",1928
"2016-2017",15,"Grade  5","Female",1833
"2016-2017",15,"Grade  5","Male",1909
"2016-2017",15,"Grade  6","Female",1836
"2016-2017",15,"Grade  6","Male",1917
"2016-2017",15,"Grade  7","Female",1819
"2016-2017",15,"Grade  7","Male",1884
"2016-2017",15,"Grade  8","Female",1780
"2016-2017",15,"Grade  8","Male",1883
"2016-2017",15,"Grade  9","Female",1748
"2016-2017",15,"Grade  9","Male",1890
"2016-2017",15,"Grade 10","Female",1752
"2016-2017",15,"Grade 10","Male",1907
"2016-2017",15,"Grade 11","Female",1659
"2016-2017",15,"Grade 11","Male",1696
"2016-2017",15,"Grade 12","Female",1548
"2016-2017",15,"Grade 12","Male",1688
"2016-2017",16,"Early Education","Female",125
"2016-2017",16,"Early Education","Male",266
"2016-2017",16,"Pre-kindergarten","Female",2125
"2016-2017",16,"Pre-kindergarten","Male",2183
"2016-2017",16,"Kindergarten","Female",3012
"2016-2017",16,"Kindergarten","Male",3207
"2016-2017",16,"Grade  1","Female",3147
"2016-2017",16,"Grade  1","Male",3254
"2016-2017",16,"Grade  2","Female",3274
"2016-2017",16,"Grade  2","Male",3380
"2016-2017",16,"Grade  3","Female",3210
"2016-2017",16,"Grade  3","Male",3451
"2016-2017",16,"Grade  4","Female",3278
"2016-2017",16,"Grade  4","Male",3372
"2016-2017",16,"Grade  5","Female",3098
"2016-2017",16,"Grade  5","Male",3243
"2016-2017",16,"Grade  6","Female",3179
"2016-2017",16,"Grade  6","Male",3279
"2016-2017",16,"Grade  7","Female",3111
"2016-2017",16,"Grade  7","Male",3256
"2016-2017",16,"Grade  8","Female",3117
"2016-2017",16,"Grade  8","Male",3136
"2016-2017",16,"Grade  9","Female",3090
"2016-2017",16,"Grade  9","Male",3477
"2016-2017",16,"Grade 10","Female",2948
"2016-2017",16,"Grade 10","Male",3106
"2016-2017",16,"Grade 11","Female",2740
"2016-2017",16,"Grade 11","Male",2840
"2016-2017",16,"Grade 12","Female",2708
"2016-2017",16,"Grade 12","Male",2781
"2016-2017",17,"Early Education","Female",135
"2016-2017",17,"Early Education","Male",299
"2016-2017",17,"Pre-kindergarten","Female",1907
"2016-2017",17,"Pre-kindergarten","Male",1993
"2016-2017",17,"Kindergarten","Female",2899
"2016-2017",17,"Kindergarten","Male",3229
"2016-2017",17,"Grade  1","Female",3218
"2016-2017",17,"Grade  1","Male",3484
"2016-2017",17,"Grade  2","Female",3306
"2016-2017",17,"Grade  2","Male",3465
"2016-2017",17,"Grade  3","Female",3298
"2016-2017",17,"Grade  3","Male",3381
"2016-2017",17,"Grade  4","Female",3328
"2016-2017",17,"Grade  4","Male",3577
"2016-2017",17,"Grade  5","Female",3027
"2016-2017",17,"Grade  5","Male",3092
"2016-2017",17,"Grade  6","Female",3046
"2016-2017",17,"Grade  6","Male",3155
"2016-2017",17,"Grade  7","Female",2991
"2016-2017",17,"Grade  7","Male",3123
"2016-2017",17,"Grade  8","Female",2965
"2016-2017",17,"Grade  8","Male",3185
"2016-2017",17,"Grade  9","Female",3000
"2016-2017",17,"Grade  9","Male",3144
"2016-2017",17,"Grade 10","Female",2981
"2016-2017",17,"Grade 10","Male",2986
"2016-2017",17,"Grade 11","Female",2690
"2016-2017",17,"Grade 11","Male",2721
"2016-2017",17,"Grade 12","Female",2514
"2016-2017",17,"Grade 12","Male",2567
"2016-2017",18,"Early Education","Female",77
"2016-2017",18,"Early Education","Male",186
"2016-2017",18,"Pre-kindergarten","Female",1705
"2016-2017",18,"Pre-kindergarten","Male",1702
"2016-2017",18,"Kindergarten","Female",3225
"2016-2017",18,"Kindergarten","Male",3447
"2016-2017",18,"Grade  1","Female",3361
"2016-2017",18,"Grade  1","Male",3613
"2016-2017",18,"Grade  2","Female",3586
