"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","CHARTER STATUS","GRADE","ENROLLMENT"
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","OPEN ENROLLMENT CHARTER","Kindergarten",109
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 1",120
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 2",90
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 3",107
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 4",126
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 5",110
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 6",152
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 7",160
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 8",96
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 9",56
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 10",57
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 11",42
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 12",33
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",16
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","TRADITIONAL ISD/CSD","Kindergarten",32
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","TRADITIONAL ISD/CSD","Grade 1",23
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","TRADITIONAL ISD/CSD","Grade 2",17
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","TRADITIONAL ISD/CSD","Grade 3",27
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","TRADITIONAL ISD/CSD","Grade 4",24
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","TRADITIONAL ISD/CSD","Grade 5",25
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","TRADITIONAL ISD/CSD","Grade 6",38
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","TRADITIONAL ISD/CSD","Grade 7",35
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","TRADITIONAL ISD/CSD","Grade 8",18
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","TRADITIONAL ISD/CSD","Grade 9",32
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","TRADITIONAL ISD/CSD","Grade 10",32
