"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","CHARTER STATUS","GRADE","ENROLLMENT"
"2019-2020",07,"RUSK COUNTY",201914,"WEST RUSK COUNTY CONSOLIDATED ISD","TRADITIONAL ISD/CSD","Grade 11",73
"2019-2020",07,"RUSK COUNTY",201914,"WEST RUSK COUNTY CONSOLIDATED ISD","TRADITIONAL ISD/CSD","Grade 12",77
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",44
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Kindergarten",54
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Grade 1","<40"
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Grade 2",38
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Grade 3",35
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Grade 4",48
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Grade 5",36
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Grade 6",43
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Grade 7",47
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Grade 8",54
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Grade 9",42
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Grade 10",44
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Grade 11",37
"2019-2020",07,"SABINE COUNTY",202905,"WEST SABINE ISD","TRADITIONAL ISD/CSD","Grade 12",37
"2019-2020",14,"MITCHELL COUNTY",168903,"WESTBROOK ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",10
"2019-2020",14,"MITCHELL COUNTY",168903,"WESTBROOK ISD","TRADITIONAL ISD/CSD","Kindergarten",18
"2019-2020",14,"MITCHELL COUNTY",168903,"WESTBROOK ISD","TRADITIONAL ISD/CSD","Grade 1",12
"2019-2020",14,"MITCHELL COUNTY",168903,"WESTBROOK ISD","TRADITIONAL ISD/CSD","Grade 2",13
"2019-2020",14,"MITCHELL COUNTY",168903,"WESTBROOK ISD","TRADITIONAL ISD/CSD","Grade 3",17
"2019-2020",14,"MITCHELL COUNTY",168903,"WESTBROOK ISD","TRADITIONAL ISD/CSD","Grade 4",18
"2019-2020",14,"MITCHELL COUNTY",168903,"WESTBROOK ISD","TRADITIONAL ISD/CSD","Grade 5",14
"2019-2020",14,"MITCHELL COUNTY",168903,"WESTBROOK ISD","TRADITIONAL ISD/CSD","Grade 6",22
"2019-2020",14,"MITCHELL COUNTY",168903,"WESTBROOK ISD","TRADITIONAL ISD/CSD","Grade 7",18
"2019-2020",14,"MITCHELL COUNTY",168903,"WESTBROOK ISD","TRADITIONAL ISD/CSD","Grade 8",29
"2019-2020",14,"MITCHELL COUNTY",168903,"WESTBROOK ISD","TRADITIONAL ISD/CSD","Grade 9",18
"2019-2020",14,"MITCHELL COUNTY",168903,"WESTBROOK ISD","TRADITIONAL ISD/CSD","Grade 10",21
"2019-2020",14,"MITCHELL COUNTY",168903,"WESTBROOK ISD","TRADITIONAL ISD/CSD","Grade 11",16
"2019-2020",14,"MITCHELL COUNTY",168903,"WESTBROOK ISD","TRADITIONAL ISD/CSD","Grade 12",20
"2019-2020",03,"DEWITT COUNTY",062905,"WESTHOFF ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<10"
"2019-2020",03,"DEWITT COUNTY",062905,"WESTHOFF ISD","TRADITIONAL ISD/CSD","Kindergarten","<10"
"2019-2020",03,"DEWITT COUNTY",062905,"WESTHOFF ISD","TRADITIONAL ISD/CSD","Grade 1","<10"
"2019-2020",03,"DEWITT COUNTY",062905,"WESTHOFF ISD","TRADITIONAL ISD/CSD","Grade 2","<10"
"2019-2020",03,"DEWITT COUNTY",062905,"WESTHOFF ISD","TRADITIONAL ISD/CSD","Grade 3","<10"
"2019-2020",03,"DEWITT COUNTY",062905,"WESTHOFF ISD","TRADITIONAL ISD/CSD","Grade 4",13
"2019-2020",03,"DEWITT COUNTY",062905,"WESTHOFF ISD","TRADITIONAL ISD/CSD","Grade 5","<10"
"2019-2020",03,"DEWITT COUNTY",062905,"WESTHOFF ISD","TRADITIONAL ISD/CSD","Grade 6","<10"
"2019-2020",03,"DEWITT COUNTY",062905,"WESTHOFF ISD","TRADITIONAL ISD/CSD","Grade 7",10
"2019-2020",03,"DEWITT COUNTY",062905,"WESTHOFF ISD","TRADITIONAL ISD/CSD","Grade 8","<10"
"2019-2020",11,"TARRANT COUNTY",220810,"WESTLAKE ACADEMY CHARTER SCHOOL","OPEN ENROLLMENT CHARTER","Kindergarten",46
"2019-2020",11,"TARRANT COUNTY",220810,"WESTLAKE ACADEMY CHARTER SCHOOL","OPEN ENROLLMENT CHARTER","Grade 1",60
"2019-2020",11,"TARRANT COUNTY",220810,"WESTLAKE ACADEMY CHARTER SCHOOL","OPEN ENROLLMENT CHARTER","Grade 2",54
"2019-2020",11,"TARRANT COUNTY",220810,"WESTLAKE ACADEMY CHARTER SCHOOL","OPEN ENROLLMENT CHARTER","Grade 3",58
"2019-2020",11,"TARRANT COUNTY",220810,"WESTLAKE ACADEMY CHARTER SCHOOL","OPEN ENROLLMENT CHARTER","Grade 4",63
"2019-2020",11,"TARRANT COUNTY",220810,"WESTLAKE ACADEMY CHARTER SCHOOL","OPEN ENROLLMENT CHARTER","Grade 5",66
"2019-2020",11,"TARRANT COUNTY",220810,"WESTLAKE ACADEMY CHARTER SCHOOL","OPEN ENROLLMENT CHARTER","Grade 6",76
"2019-2020",11,"TARRANT COUNTY",220810,"WESTLAKE ACADEMY CHARTER SCHOOL","OPEN ENROLLMENT CHARTER","Grade 7",76
"2019-2020",11,"TARRANT COUNTY",220810,"WESTLAKE ACADEMY CHARTER SCHOOL","OPEN ENROLLMENT CHARTER","Grade 8",75
"2019-2020",11,"TARRANT COUNTY",220810,"WESTLAKE ACADEMY CHARTER SCHOOL","OPEN ENROLLMENT CHARTER","Grade 9",85
"2019-2020",11,"TARRANT COUNTY",220810,"WESTLAKE ACADEMY CHARTER SCHOOL","OPEN ENROLLMENT CHARTER","Grade 10",86
"2019-2020",11,"TARRANT COUNTY",220810,"WESTLAKE ACADEMY CHARTER SCHOOL","OPEN ENROLLMENT CHARTER","Grade 11",78
"2019-2020",11,"TARRANT COUNTY",220810,"WESTLAKE ACADEMY CHARTER SCHOOL","OPEN ENROLLMENT CHARTER","Grade 12",78
"2019-2020",12,"FALLS COUNTY",073904,"WESTPHALIA ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",12,"FALLS COUNTY",073904,"WESTPHALIA ISD","TRADITIONAL ISD/CSD","Kindergarten",17
"2019-2020",12,"FALLS COUNTY",073904,"WESTPHALIA ISD","TRADITIONAL ISD/CSD","Grade 1",17
"2019-2020",12,"FALLS COUNTY",073904,"WESTPHALIA ISD","TRADITIONAL ISD/CSD","Grade 2",16
"2019-2020",12,"FALLS COUNTY",073904,"WESTPHALIA ISD","TRADITIONAL ISD/CSD","Grade 3",18
"2019-2020",12,"FALLS COUNTY",073904,"WESTPHALIA ISD","TRADITIONAL ISD/CSD","Grade 4",18
"2019-2020",12,"FALLS COUNTY",073904,"WESTPHALIA ISD","TRADITIONAL ISD/CSD","Grade 5",19
"2019-2020",12,"FALLS COUNTY",073904,"WESTPHALIA ISD","TRADITIONAL ISD/CSD","Grade 6","<20"
"2019-2020",12,"FALLS COUNTY",073904,"WESTPHALIA ISD","TRADITIONAL ISD/CSD","Grade 7",18
"2019-2020",12,"FALLS COUNTY",073904,"WESTPHALIA ISD","TRADITIONAL ISD/CSD","Grade 8",17
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<90"
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Kindergarten",98
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Grade 1",115
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Grade 2",101
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Grade 3",113
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Grade 4",110
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Grade 5",115
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Grade 6",116
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Grade 7",94
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Grade 8",119
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Grade 9",123
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Grade 10",125
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Grade 11",98
"2019-2020",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","TRADITIONAL ISD/CSD","Grade 12",95
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Early Education",11
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",126
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Kindergarten",127
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Grade 1",140
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Grade 2",144
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Grade 3",115
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Grade 4",154
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Grade 5",139
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Grade 6",153
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Grade 7",160
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Grade 8",163
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Grade 9",155
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Grade 10",149
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Grade 11",131
"2019-2020",03,"WHARTON COUNTY",241904,"WHARTON ISD","TRADITIONAL ISD/CSD","Grade 12",134
"2019-2020",16,"WHEELER COUNTY",242903,"WHEELER ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",26
"2019-2020",16,"WHEELER COUNTY",242903,"WHEELER ISD","TRADITIONAL ISD/CSD","Kindergarten",30
"2019-2020",16,"WHEELER COUNTY",242903,"WHEELER ISD","TRADITIONAL ISD/CSD","Grade 1",29
"2019-2020",16,"WHEELER COUNTY",242903,"WHEELER ISD","TRADITIONAL ISD/CSD","Grade 2",36
"2019-2020",16,"WHEELER COUNTY",242903,"WHEELER ISD","TRADITIONAL ISD/CSD","Grade 3",36
"2019-2020",16,"WHEELER COUNTY",242903,"WHEELER ISD","TRADITIONAL ISD/CSD","Grade 4",31
"2019-2020",16,"WHEELER COUNTY",242903,"WHEELER ISD","TRADITIONAL ISD/CSD","Grade 5",29
"2019-2020",16,"WHEELER COUNTY",242903,"WHEELER ISD","TRADITIONAL ISD/CSD","Grade 6",31
"2019-2020",16,"WHEELER COUNTY",242903,"WHEELER ISD","TRADITIONAL ISD/CSD","Grade 7",40
"2019-2020",16,"WHEELER COUNTY",242903,"WHEELER ISD","TRADITIONAL ISD/CSD","Grade 8",42
"2019-2020",16,"WHEELER COUNTY",242903,"WHEELER ISD","TRADITIONAL ISD/CSD","Grade 9",37
"2019-2020",16,"WHEELER COUNTY",242903,"WHEELER ISD","TRADITIONAL ISD/CSD","Grade 10",36
"2019-2020",16,"WHEELER COUNTY",242903,"WHEELER ISD","TRADITIONAL ISD/CSD","Grade 11",29
"2019-2020",16,"WHEELER COUNTY",242903,"WHEELER ISD","TRADITIONAL ISD/CSD","Grade 12",27
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",21
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Kindergarten",25
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Grade 1",25
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Grade 2","<20"
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Grade 3",28
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Grade 4",32
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Grade 5",29
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Grade 6",29
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Grade 7",31
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Grade 8",25
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Grade 9",28
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Grade 10",21
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Grade 11",29
"2019-2020",16,"CARSON COUNTY",033904,"WHITE DEER ISD","TRADITIONAL ISD/CSD","Grade 12",21
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Early Education",16
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",15
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Kindergarten",103
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Grade 1",126
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Grade 2",115
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Grade 3",111
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Grade 4",129
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Grade 5",123
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Grade 6",105
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Grade 7",119
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Grade 8",109
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Grade 9",133
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Grade 10",115
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Grade 11",93
"2019-2020",07,"GREGG COUNTY",092908,"WHITE OAK ISD","TRADITIONAL ISD/CSD","Grade 12",89
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Early Education",22
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",219
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Kindergarten",505
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Grade 1",489
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Grade 2",527
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Grade 3",499
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Grade 4",496
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Grade 5",502
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Grade 6",551
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Grade 7",566
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Grade 8",575
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Grade 9",589
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Grade 10",535
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Grade 11",448
"2019-2020",11,"TARRANT COUNTY",220920,"WHITE SETTLEMENT ISD","TRADITIONAL ISD/CSD","Grade 12",456
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<20"
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Kindergarten",15
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Grade 1",19
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Grade 2",20
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Grade 3",20
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Grade 4",28
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Grade 5",29
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Grade 6",27
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Grade 7",25
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Grade 8",30
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Grade 9",23
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Grade 10",22
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Grade 11",25
"2019-2020",17,"COCHRAN COUNTY",040902,"WHITEFACE CISD","TRADITIONAL ISD/CSD","Grade 12",22
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Early Education",28
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",120
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Kindergarten",317
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Grade 1",359
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Grade 2",353
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Grade 3",351
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Grade 4",361
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Grade 5",376
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Grade 6",368
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Grade 7",404
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Grade 8",430
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Grade 9",394
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Grade 10",388
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Grade 11",373
"2019-2020",07,"SMITH COUNTY",212906,"WHITEHOUSE ISD","TRADITIONAL ISD/CSD","Grade 12",314
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Early Education",10
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",52
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Kindergarten",153
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Grade 1",93
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Grade 2",124
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Grade 3",113
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Grade 4",134
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Grade 5",152
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Grade 6",110
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Grade 7",135
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Grade 8",99
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Grade 9",139
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Grade 10",105
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Grade 11",105
"2019-2020",10,"GRAYSON COUNTY",091909,"WHITESBORO ISD","TRADITIONAL ISD/CSD","Grade 12",95
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<40"
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Kindergarten",55
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Grade 1",53
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Grade 2",61
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Grade 3",58
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Grade 4",55
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Grade 5",76
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Grade 6",50
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Grade 7",53
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Grade 8",60
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Grade 9",70
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Grade 10",78
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Grade 11",64
"2019-2020",10,"GRAYSON COUNTY",091910,"WHITEWRIGHT ISD","TRADITIONAL ISD/CSD","Grade 12",65
"2019-2020",17,"HOCKLEY COUNTY",110908,"WHITHARRAL ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<10"
"2019-2020",17,"HOCKLEY COUNTY",110908,"WHITHARRAL ISD","TRADITIONAL ISD/CSD","Kindergarten",11
"2019-2020",17,"HOCKLEY COUNTY",110908,"WHITHARRAL ISD","TRADITIONAL ISD/CSD","Grade 1",11
"2019-2020",17,"HOCKLEY COUNTY",110908,"WHITHARRAL ISD","TRADITIONAL ISD/CSD","Grade 2",13
"2019-2020",17,"HOCKLEY COUNTY",110908,"WHITHARRAL ISD","TRADITIONAL ISD/CSD","Grade 3","<10"
"2019-2020",17,"HOCKLEY COUNTY",110908,"WHITHARRAL ISD","TRADITIONAL ISD/CSD","Grade 4",13
"2019-2020",17,"HOCKLEY COUNTY",110908,"WHITHARRAL ISD","TRADITIONAL ISD/CSD","Grade 5",17
"2019-2020",17,"HOCKLEY COUNTY",110908,"WHITHARRAL ISD","TRADITIONAL ISD/CSD","Grade 6",17
"2019-2020",17,"HOCKLEY COUNTY",110908,"WHITHARRAL ISD","TRADITIONAL ISD/CSD","Grade 7",17
"2019-2020",17,"HOCKLEY COUNTY",110908,"WHITHARRAL ISD","TRADITIONAL ISD/CSD","Grade 8",12
"2019-2020",17,"HOCKLEY COUNTY",110908,"WHITHARRAL ISD","TRADITIONAL ISD/CSD","Grade 9",14
