year,leaid,fips,grade,race,sex,enrollment
2012,100005,1,7,99,1,150
2012,100005,1,7,99,2,161
2012,100005,1,7,99,99,311
2012,100005,1,8,1,1,96
2012,100005,1,8,1,2,107
2012,100005,1,8,1,99,203
2012,100005,1,8,2,1,2
2012,100005,1,8,2,2,2
2012,100005,1,8,2,99,4
2012,100005,1,8,3,1,54
